PaperID,RelatedToPaperID
dc106710715e3b724e393e3562cbb8f2e5865161,1746d1068d3b3c24ff18c3c59005bc79f138f489
dc106710715e3b724e393e3562cbb8f2e5865161,b9b359aba63f924a5df7d79e9a84a042a991161f
dc106710715e3b724e393e3562cbb8f2e5865161,c0305f2c05bd0349495164f0ad8d8e1626398af5
dc106710715e3b724e393e3562cbb8f2e5865161,fac2482955d406b2d8540daf482b514d39c41997
dc106710715e3b724e393e3562cbb8f2e5865161,a6bb38c8e656d304e5ac096f63d6728c0a972553
dc106710715e3b724e393e3562cbb8f2e5865161,f3e36ac64c4fc1669f93031a7874a612ca8d461e
dc106710715e3b724e393e3562cbb8f2e5865161,427e2710f917c6396f87903a8e21d7a31ad01fe5
dc106710715e3b724e393e3562cbb8f2e5865161,1c06c4eacdaf704bb9b4e275dd849a296b3c2b26
dc106710715e3b724e393e3562cbb8f2e5865161,4e36d13b45ae7db5a4cedb1cb362d6a7307ee5e3
dc106710715e3b724e393e3562cbb8f2e5865161,2018e67f72509e78ccdd47bfff79fc42f53ac0af
dc106710715e3b724e393e3562cbb8f2e5865161,2163c5082e5f96747e2dd2210e5447412bda4e71
dc106710715e3b724e393e3562cbb8f2e5865161,21015ef48d087a59efe6573932c3cc53e592d1ae
dc106710715e3b724e393e3562cbb8f2e5865161,242a8561d4db3f1c70642bb6b025d48c788e5ea0
dc106710715e3b724e393e3562cbb8f2e5865161,71d42ff2edff6c7f8affccf7206329cd02682402
dc106710715e3b724e393e3562cbb8f2e5865161,f11b89fdd7008d802025f47833dc8b52e6496194
dc106710715e3b724e393e3562cbb8f2e5865161,255eebfe45593be0c9443ad2257db539a6b98377
dc106710715e3b724e393e3562cbb8f2e5865161,dd450981046108fad5026c31141f3512d7e9544b
dc106710715e3b724e393e3562cbb8f2e5865161,ddb12d945cda3908cff5cde6fc75bf3f987b5b30
dc106710715e3b724e393e3562cbb8f2e5865161,dfb65f1ef89857d4cadc8588d34fd5125358b0ad
dc106710715e3b724e393e3562cbb8f2e5865161,1e6633363f804fd6e4342b92e9bc445ec197ecfb
dc106710715e3b724e393e3562cbb8f2e5865161,5cbabda660d178f8d9227da910a65ff11f140d21
dc106710715e3b724e393e3562cbb8f2e5865161,0b7743ce349ae8703042a41b54d8e85ac05f3dbd
dc106710715e3b724e393e3562cbb8f2e5865161,bf90c51dc198c246300a49a442880f3b3721917c
dc106710715e3b724e393e3562cbb8f2e5865161,0c0474ca39a5fb3becb35ae78f8e763434fc4e3b
dc106710715e3b724e393e3562cbb8f2e5865161,95ae1338061a7cdf432b110547c5a2c260c36a7d
dc106710715e3b724e393e3562cbb8f2e5865161,af7bf27967da7fd9c47cd90dc256b3a99a967ff2
dc106710715e3b724e393e3562cbb8f2e5865161,44a12a88a449f900654270eaefba0c72efadf87a
dc106710715e3b724e393e3562cbb8f2e5865161,11f065fb24b5a50f9181a5a2a6c455aafd0854ba
dc106710715e3b724e393e3562cbb8f2e5865161,9c417e4afa8cc5679cfaccc1c80987e35e469c84
20004cb54319bbfd29c0828913c3bf5a8d6c8a1c,a6e84569f237eeeb22c599c580f554db2a41f942
20004cb54319bbfd29c0828913c3bf5a8d6c8a1c,de12142e56ed705c71ba380e1046bf14258e73ea
20004cb54319bbfd29c0828913c3bf5a8d6c8a1c,abc1a0f6340ff80155e38bcb2311daac14af955f
